transactionDay,accountId,category,avg(transactionAmount)
1,A1,DD,227.64
1,A10,BB,557.57
1,A10,CC,423.94
1,A13,DD,996.67
1,A13,GG,662.13
1,A14,CC,351.16
1,A14,DD,733.77
1,A14,FF,191.18
1,A16,CC,353.66
1,A16,BB,786.14
1,A16,EE,820.45
1,A17,AA,788.24
1,A18,GG,379.86
1,A19,BB,14.42
1,A2,DD,775.37
1,A20,GG,490.24
1,A21,GG,857.83
1,A23,BB,416.36
1,A25,AA,291.76
1,A27,GG,338.11
1,A29,FF,439.49
1,A31,DD,115.88
1,A32,DD,499.86
1,A32,EE,284.34
1,A33,BB,185.4
1,A33,GG,146.46
1,A33,DD,352.64
1,A34,AA,738.28
1,A35,AA,826.1
1,A35,FF,245.3
1,A35,EE,457.87
1,A35,DD,756.32
1,A4,DD,485.44
1,A4,EE,732.07
1,A40,FF,435.5
1,A41,FF,181.65
1,A42,DD,801.81
1,A42,GG,350.65
1,A43,AA,640.095
1,A43,CC,685.71
1,A44,AA,949.92
1,A44,EE,882.63
1,A44,FF,139.55
1,A44,CC,397.19
1,A45,GG,662.98
1,A46,FF,652.395
1,A47,BB,400.42
1,A48,AA,193.57
1,A49,DD,848.9
1,A5,CC,183.1
1,A5,BB,586.5550000000001
1,A7,DD,650.23
2,A10,BB,747.62
2,A11,AA,635.4866666666667
2,A11,BB,481.88
2,A12,EE,928.86
2,A12,FF,438.88
2,A13,FF,516.34
2,A13,EE,131.47
2,A13,GG,70.19
2,A15,DD,440.95500000000004
2,A17,BB,533.15
2,A21,EE,107.9
2,A21,BB,285.11
2,A23,AA,743.51
2,A23,EE,402.15
2,A24,EE,298.56
2,A27,CC,764.79
2,A27,FF,753.42
2,A28,CC,341.52
2,A28,FF,265.7
2,A29,EE,378.54499999999996
2,A3,DD,486.81
2,A30,GG,958.29
2,A31,FF,748.48
2,A33,BB,51.39
2,A34,FF,289.96000000000004
2,A35,GG,526.4
2,A35,FF,944.66
2,A37,CC,338.21
2,A4,CC,659.49
2,A40,DD,633.84
2,A42,DD,767.11
2,A46,AA,524.495
2,A48,AA,797.19
2,A49,GG,378.71
2,A5,BB,171.3
2,A6,EE,959.67
2,A6,BB,47.89
2,A7,EE,367.0
2,A8,AA,598.28
2,A8,GG,624.81
2,A8,BB,277.48
2,A8,EE,154.29
2,A8,CC,253.09
2,A8,FF,323.22
2,A9,BB,676.48
2,A9,DD,473.3
3,A12,EE,586.62
3,A14,EE,624.94
3,A18,AA,157.28
3,A20,BB,877.24
3,A23,DD,133.42
3,A26,GG,43.57
3,A28,CC,530.93
3,A29,EE,997.18
3,A3,EE,662.11
3,A30,GG,496.14
3,A30,FF,822.84
3,A34,EE,567.0
3,A34,GG,688.78
3,A36,EE,197.62
3,A39,CC,982.64
3,A41,BB,775.15
3,A44,AA,501.71
3,A45,CC,213.21
3,A45,BB,775.475
3,A5,CC,736.5
4,A1,FF,977.98
4,A10,CC,132.46
4,A12,EE,410.5
4,A12,DD,610.0
4,A13,EE,611.9
4,A14,GG,931.16
4,A14,AA,796.33
4,A14,CC,539.61
4,A15,BB,515.35
4,A15,DD,194.77
4,A16,FF,874.84
4,A17,AA,614.56
4,A18,GG,699.63
4,A18,EE,718.32
4,A2,EE,497.8
4,A2,DD,208.19
4,A21,GG,920.24
4,A21,CC,492.85
4,A23,DD,647.12
4,A26,FF,452.14
4,A26,BB,188.06
4,A26,DD,503.58
4,A26,EE,4.12
4,A28,DD,287.55
4,A28,BB,633.11
4,A29,FF,827.53
4,A3,BB,928.88
4,A31,DD,528.04
4,A32,CC,433.43
4,A32,GG,471.48
4,A32,EE,712.7
4,A33,FF,723.405
4,A33,AA,774.8
4,A33,EE,235.73
4,A34,FF,5.16
4,A34,BB,282.0
4,A35,BB,810.77
4,A36,CC,709.33
4,A36,DD,21.42
4,A37,DD,864.68
4,A37,GG,461.32
4,A37,EE,626.96
4,A38,CC,446.66999999999996
4,A38,DD,216.92
4,A39,AA,422.17
4,A39,BB,243.39
4,A40,AA,737.53
4,A40,DD,897.97
4,A41,BB,427.26
4,A42,EE,387.29
4,A43,CC,660.77
4,A43,BB,199.06
4,A43,EE,185.87
4,A45,BB,940.41
4,A46,DD,523.63
4,A46,AA,7.82
4,A5,AA,948.31
4,A6,GG,805.1800000000001
4,A7,FF,203.34
4,A9,DD,685.45
4,A9,GG,812.73
5,A1,CC,171.19
5,A16,FF,761.67
5,A2,BB,624.25
5,A29,GG,888.75
5,A34,GG,653.37
5,A40,AA,827.4
5,A41,EE,777.29
5,A42,FF,174.04
5,A47,FF,900.67
6,A10,GG,247.24
6,A12,DD,223.49
6,A13,BB,150.04
6,A16,BB,873.61
6,A19,GG,612.81
6,A2,BB,625.73
6,A20,FF,982.0350000000001
6,A21,GG,622.9
6,A21,BB,984.67
6,A21,CC,818.33
6,A22,FF,125.64
6,A24,GG,675.99
6,A26,FF,432.2
6,A26,CC,54.12
6,A26,GG,369.08
6,A27,AA,166.29
6,A27,CC,17.78
6,A30,DD,366.735
6,A31,BB,893.98
6,A31,AA,252.74
6,A31,DD,795.81
6,A32,EE,514.1
6,A32,DD,284.47
6,A33,DD,371.34
6,A34,CC,34.02
6,A35,AA,714.33
6,A36,EE,738.68
6,A4,DD,938.17
6,A4,CC,762.86
6,A40,GG,526.9
6,A41,BB,321.38
6,A41,AA,533.87
6,A41,GG,398.44
6,A42,BB,461.91
6,A43,GG,576.07
6,A43,AA,816.13
6,A43,DD,463.71
6,A44,EE,285.32
6,A45,GG,133.23
6,A45,DD,573.27
6,A46,CC,131.6
6,A46,AA,824.25
6,A46,BB,287.48
6,A48,GG,354.58
6,A48,DD,762.14
6,A49,GG,961.67
6,A5,BB,77.52
6,A7,EE,924.59
6,A8,CC,794.25
6,A8,GG,743.8
6,A8,FF,20.18
7,A1,FF,622.43
7,A12,AA,391.18
7,A12,GG,827.76
7,A12,FF,759.91
7,A18,EE,941.14
7,A18,AA,727.33
7,A18,BB,863.59
7,A20,AA,402.18
7,A21,DD,879.83
7,A25,BB,838.5
7,A39,FF,564.29
7,A42,DD,4.52
7,A44,GG,377.61
7,A5,FF,482.43999999999994
7,A5,AA,151.88
7,A7,AA,682.74
8,A1,GG,641.15
8,A1,AA,898.64
8,A10,AA,960.56
8,A10,GG,352.3
8,A12,CC,67.27
8,A12,FF,486.56
8,A13,CC,784.17
8,A13,GG,516.13
8,A14,GG,507.37
8,A15,AA,383.42999999999995
8,A15,CC,500.73
8,A16,FF,8.63
8,A16,GG,356.74
8,A17,FF,506.05
8,A18,BB,350.73
8,A19,EE,532.33
8,A19,AA,190.74
8,A19,CC,947.38
8,A2,CC,478.62
8,A2,BB,123.92
8,A22,GG,995.78
8,A23,FF,946.09
8,A25,EE,104.19
8,A26,DD,249.97
8,A28,AA,532.01
8,A28,CC,159.73
8,A28,FF,340.07
8,A29,GG,580.05
8,A31,DD,352.16
8,A32,BB,645.75
8,A32,GG,404.86
8,A33,EE,294.28
8,A33,BB,349.19
8,A33,FF,328.74
8,A33,CC,475.89
8,A34,FF,370.23
8,A34,AA,517.58
8,A35,DD,260.38
8,A36,DD,948.33
8,A36,CC,838.065
8,A36,BB,434.1
8,A37,EE,165.48
8,A38,FF,603.84
8,A39,CC,447.67
8,A39,AA,648.41
8,A39,GG,76.62
8,A40,EE,513.6
8,A40,CC,958.65
8,A42,FF,894.86
8,A44,EE,1.51
8,A45,EE,40.93
8,A46,EE,115.6
8,A6,CC,1.8
8,A7,GG,278.49
8,A8,BB,78.81
8,A8,GG,497.34
8,A8,DD,339.16
8,A9,EE,550.18
9,A12,EE,173.13
9,A13,DD,541.16
9,A14,FF,930.43
9,A14,AA,571.02
9,A16,FF,412.34
9,A18,GG,661.97
9,A20,GG,916.87
9,A22,AA,345.52
9,A26,AA,685.36
9,A28,GG,807.54
9,A35,GG,294.89
9,A35,CC,503.21
9,A4,AA,163.78
9,A42,AA,961.68
9,A43,CC,843.61
9,A45,EE,212.34
9,A45,CC,818.82
9,A45,DD,98.49
9,A47,DD,796.9
9,A47,AA,537.26
9,A48,GG,618.16
9,A48,EE,66.05
9,A49,CC,340.89
9,A5,GG,886.19
9,A5,CC,821.64
9,A9,GG,581.97
10,A1,BB,537.73
10,A10,EE,808.56
10,A14,BB,736.36
10,A16,CC,284.9
10,A16,GG,546.21
10,A18,GG,477.88
10,A19,FF,34.22
10,A19,CC,441.98
10,A2,GG,209.25
10,A20,BB,237.76
10,A21,GG,105.7
10,A27,AA,83.54
10,A27,FF,721.92
10,A29,AA,983.69
10,A34,FF,190.78
10,A35,BB,167.01
10,A37,AA,773.09
10,A37,CC,877.54
10,A38,FF,880.45
10,A38,DD,223.63
10,A38,AA,116.02
10,A4,FF,702.4
10,A44,AA,242.44
10,A44,FF,990.11
10,A45,EE,628.63
10,A48,FF,162.03
10,A48,DD,594.52
10,A7,FF,326.39
10,A7,EE,796.32
11,A1,FF,431.59
11,A10,CC,228.63
11,A12,CC,455.89
11,A13,FF,866.21
11,A16,GG,575.27
11,A17,CC,550.95
11,A18,DD,525.11
11,A18,AA,377.09
11,A2,CC,642.27
11,A21,AA,935.71
11,A21,CC,783.38
11,A23,AA,636.335
11,A23,BB,257.62
11,A24,FF,976.95
11,A26,AA,262.38
11,A27,EE,184.7
11,A27,FF,196.18
11,A28,BB,780.81
11,A28,FF,778.89
11,A3,CC,629.35
11,A3,AA,777.15
11,A30,CC,252.14
11,A31,EE,793.57
11,A31,GG,483.42
11,A32,CC,216.41
11,A32,FF,864.56
11,A34,BB,462.63
11,A35,GG,583.08
11,A35,CC,875.48
11,A36,DD,34.32
11,A37,BB,812.64
11,A38,BB,454.44
11,A39,DD,51.55
11,A4,FF,927.5
11,A41,CC,120.49
11,A41,DD,337.13
11,A43,BB,73.21
11,A44,CC,368.48
11,A45,GG,926.99
11,A46,EE,968.23
11,A46,CC,71.58
11,A5,CC,504.49
11,A5,EE,476.28
11,A7,BB,699.44
11,A7,GG,162.69
12,A10,AA,707.74
12,A13,DD,169.16
12,A14,GG,951.87
12,A16,BB,185.88
12,A18,AA,973.46
12,A18,CC,877.68
12,A2,FF,536.59
12,A21,DD,490.6
12,A21,EE,349.34
12,A22,DD,945.83
12,A26,EE,494.12
12,A29,BB,521.56
12,A30,FF,510.59
12,A31,CC,419.07
12,A31,BB,536.115
12,A32,AA,458.25
12,A32,CC,19.02
12,A35,EE,616.97
12,A36,EE,79.24
12,A38,BB,70.94
12,A40,EE,6.53
12,A40,CC,422.05
12,A43,GG,649.53
12,A45,EE,410.64
12,A46,AA,281.83
12,A49,BB,313.26
12,A5,DD,776.08
12,A5,EE,589.55
12,A6,FF,178.29
12,A6,GG,654.74
12,A6,CC,857.62
12,A7,EE,71.23
12,A8,FF,508.23
12,A8,BB,688.66
13,A12,AA,959.1
13,A15,AA,280.93
13,A19,DD,60.08
13,A23,GG,780.47
13,A28,DD,904.17
13,A29,CC,39.24
13,A3,BB,374.49
13,A31,AA,763.68
13,A35,EE,490.92
13,A36,EE,311.25
13,A39,BB,658.47
13,A4,GG,360.62
13,A41,GG,859.51
13,A42,AA,38.18
13,A42,CC,971.14
13,A43,GG,293.12
13,A47,EE,940.13
13,A49,FF,652.76
13,A6,GG,132.76
13,A8,EE,240.13
14,A1,CC,562.36
14,A10,BB,966.73
14,A11,AA,733.1
14,A14,FF,82.48
14,A18,EE,117.46
14,A18,BB,466.91
14,A2,FF,132.56
14,A24,GG,641.5
14,A29,FF,999.67
14,A31,DD,930.74
14,A31,CC,462.94
14,A31,AA,646.75
14,A35,CC,778.14
14,A35,EE,400.58
14,A36,FF,718.85
14,A38,AA,780.74
14,A41,FF,26.11
14,A43,FF,663.92
14,A43,BB,876.97
14,A44,FF,624.71
14,A44,GG,454.05
14,A45,EE,669.29
14,A5,DD,473.66
14,A6,EE,285.90500000000003
14,A6,DD,175.47
14,A7,BB,248.18
14,A7,EE,680.29
14,A9,EE,806.7
15,A15,DD,424.16
15,A23,EE,632.01
15,A25,GG,130.85
15,A25,BB,581.52
15,A26,BB,222.74
15,A27,BB,517.09
15,A36,DD,1.54
15,A38,GG,422.53499999999997
15,A38,EE,309.36
15,A42,FF,480.3
15,A44,GG,136.35
15,A45,AA,67.43
15,A47,CC,74.96
15,A49,BB,272.66
15,A9,FF,683.67
16,A10,FF,815.31
16,A13,AA,338.93
16,A14,BB,10.86
16,A16,CC,501.35
16,A19,BB,701.03
16,A24,AA,168.39
16,A29,BB,538.08
16,A35,DD,637.19
16,A36,CC,377.01
16,A9,DD,930.61
17,A11,EE,694.53
17,A12,AA,983.51
17,A13,GG,591.11
17,A15,AA,47.61
17,A15,BB,72.88
17,A16,CC,802.54
17,A20,FF,803.1
17,A24,GG,587.77
17,A26,GG,411.43
17,A26,BB,300.24
17,A30,BB,962.22
17,A30,GG,418.55
17,A33,BB,631.03
17,A34,CC,513.9
17,A35,DD,225.1
17,A35,BB,913.12
17,A36,BB,717.84
17,A39,AA,938.26
17,A40,AA,912.76
17,A45,EE,232.66
17,A47,AA,449.42
17,A8,GG,524.83
17,A9,DD,981.74
18,A1,BB,792.135
18,A10,CC,387.74
18,A10,FF,508.87
18,A10,AA,156.77
18,A13,FF,465.86
18,A14,GG,503.58
18,A15,EE,3.4
18,A18,DD,450.83
18,A20,CC,296.89
18,A20,FF,39.76
18,A26,AA,13.19
18,A29,GG,784.31
18,A3,DD,179.37
18,A31,DD,378.76
18,A34,CC,983.24
18,A40,AA,990.99
18,A5,CC,605.31
18,A7,CC,83.29
18,A9,CC,715.5
19,A1,DD,568.98
19,A10,GG,19.01
19,A11,CC,15.86
19,A17,GG,754.54
19,A18,BB,581.56
19,A18,GG,965.08
19,A19,FF,863.7
19,A22,CC,992.15
19,A23,DD,727.98
19,A25,BB,732.68
19,A28,DD,306.6
19,A30,BB,446.7
19,A36,BB,190.37
19,A38,EE,610.4
19,A4,GG,388.94
19,A45,GG,61.23
19,A47,EE,139.81
19,A49,CC,907.87
20,A1,BB,966.52
20,A11,GG,404.96
20,A11,BB,99.22
20,A13,DD,503.27
20,A13,GG,637.65
20,A13,EE,551.16
20,A14,EE,766.785
20,A14,AA,426.47
20,A18,CC,695.15
20,A2,BB,758.43
20,A22,BB,615.47
20,A22,CC,987.04
20,A23,GG,999.0
20,A23,CC,909.93
20,A23,FF,372.31
20,A24,CC,895.78
20,A25,FF,288.74
20,A26,DD,197.4
20,A29,CC,596.66
20,A29,BB,547.89
20,A31,DD,160.35
20,A34,CC,14.85
20,A35,DD,255.57
20,A36,BB,161.01
20,A39,BB,932.3
20,A39,CC,293.89
20,A4,DD,144.59
20,A4,BB,119.2
20,A4,AA,142.7
20,A40,EE,677.21
20,A40,GG,282.12
20,A44,CC,132.83
20,A45,CC,62.03
20,A46,GG,621.39
20,A46,CC,220.8
20,A47,AA,544.4
20,A5,DD,294.94
20,A5,AA,128.16
20,A7,EE,426.87
20,A7,FF,647.97
20,A8,AA,711.47
20,A9,CC,183.27
20,A9,AA,157.74
20,A9,EE,353.85
21,A1,GG,364.69
21,A1,FF,321.8
21,A14,GG,306.85
21,A15,CC,525.89
21,A17,EE,372.85
21,A19,DD,815.2
21,A23,DD,672.24
21,A25,AA,626.35
21,A27,CC,158.61
21,A29,BB,221.69
21,A3,GG,899.49
21,A40,AA,669.76
21,A43,EE,193.25
21,A44,CC,588.745
21,A48,FF,371.13
21,A5,CC,443.89
21,A7,GG,759.84
21,A9,AA,817.52
22,A1,FF,37.55
22,A1,CC,663.04
22,A14,CC,382.33
22,A18,CC,237.57
22,A2,FF,627.11
22,A21,GG,355.28
22,A22,DD,494.86
22,A24,FF,631.91
22,A24,GG,74.51
22,A29,FF,942.92
22,A3,EE,199.6
22,A30,BB,424.45
22,A30,AA,195.72
22,A33,FF,980.05
22,A36,GG,598.32
22,A38,BB,934.23
22,A39,GG,564.13
22,A4,DD,214.6
22,A41,DD,330.32
22,A44,AA,504.63
22,A46,AA,418.25
22,A48,DD,510.68
22,A8,BB,520.24
23,A1,AA,152.51
23,A10,EE,550.85
23,A10,AA,577.76
23,A10,CC,129.08
23,A10,GG,786.38
23,A13,CC,804.62
23,A16,DD,419.7
23,A17,FF,846.92
23,A17,GG,659.75
23,A18,AA,554.78
23,A18,BB,72.47
23,A18,FF,183.53
23,A20,CC,217.2
23,A22,BB,486.6
23,A22,CC,850.32
23,A23,DD,204.09
23,A23,BB,596.6
23,A26,DD,682.15
23,A27,CC,786.72
23,A28,AA,145.5
23,A28,FF,915.79
23,A28,DD,5.93
23,A29,BB,273.64
23,A3,AA,13.71
23,A30,GG,561.83
23,A38,CC,55.4
23,A38,DD,507.11
23,A39,FF,322.8
23,A39,CC,832.82
23,A4,EE,522.17
23,A40,CC,316.05
23,A46,FF,262.97
23,A48,FF,146.1
23,A49,GG,63.91
23,A5,FF,105.9
23,A5,CC,51.93
23,A6,GG,683.55
23,A9,EE,514.6
24,A1,GG,329.63
24,A11,DD,8.28
24,A12,FF,507.34
24,A15,CC,767.2
24,A17,EE,492.775
24,A2,DD,577.67
24,A20,GG,904.08
24,A20,DD,654.36
24,A20,BB,864.55
24,A22,AA,287.39
24,A23,DD,636.67
24,A25,FF,661.71
24,A27,CC,832.59
24,A28,BB,941.1
24,A29,GG,543.76
24,A3,DD,384.72999999999996
24,A3,FF,507.44
24,A30,EE,591.89
24,A31,GG,723.88
24,A32,FF,381.69
24,A34,CC,877.84
24,A35,FF,641.07
24,A36,EE,112.66
24,A37,FF,763.82
24,A4,CC,707.51
24,A40,DD,858.33
24,A41,FF,304.01
24,A42,DD,999.53
24,A42,EE,509.91
24,A42,BB,233.28
24,A43,AA,362.56
24,A44,DD,430.48
24,A46,BB,711.23
24,A46,DD,834.47
24,A47,FF,894.095
24,A49,DD,86.11
24,A9,AA,709.62
25,A1,AA,621.24
25,A10,AA,87.32
25,A11,GG,314.13
25,A11,EE,718.22
25,A14,CC,309.33
25,A15,FF,216.16
25,A16,DD,622.5
25,A18,AA,300.36
25,A2,AA,638.95
25,A2,EE,752.12
25,A26,GG,336.01
25,A27,DD,592.84
25,A31,CC,660.74
25,A33,FF,877.44
25,A33,AA,89.59
25,A38,DD,705.08
25,A40,EE,284.73
25,A46,EE,885.94
25,A48,CC,402.8
25,A49,CC,315.35
25,A5,EE,716.41
25,A6,BB,675.99
25,A6,DD,215.96
25,A8,GG,495.57
25,A9,BB,772.53
26,A1,DD,337.49
26,A10,BB,214.27
26,A12,DD,925.9
26,A13,CC,696.11
26,A14,FF,950.86
26,A14,BB,519.08
26,A15,BB,601.1
26,A15,CC,403.69
26,A16,AA,402.91
26,A17,DD,957.65
26,A17,CC,969.1
26,A18,DD,312.9
26,A18,EE,22.6
26,A18,CC,603.92
26,A19,DD,201.63
26,A2,DD,977.2
26,A21,GG,937.1
26,A21,CC,22.89
26,A24,DD,116.68
26,A24,FF,337.48
26,A25,EE,296.395
26,A26,CC,307.88
26,A29,DD,483.085
26,A3,BB,540.02
26,A30,BB,632.58
26,A30,GG,397.64
26,A31,FF,406.26
26,A31,GG,314.32
26,A32,GG,751.77
26,A32,AA,911.33
26,A33,CC,854.59
26,A34,GG,200.36
26,A34,DD,73.1
26,A34,AA,888.58
26,A35,EE,825.15
26,A36,FF,757.76
26,A38,EE,266.54333333333335
26,A41,DD,913.75
26,A42,EE,308.68
26,A43,BB,581.54
26,A44,GG,903.72
26,A45,DD,618.38
26,A45,GG,440.15
26,A47,EE,950.51
26,A5,DD,921.92
26,A6,DD,678.71
26,A7,FF,566.92
26,A9,AA,141.36
27,A1,BB,505.46
27,A10,FF,350.59
27,A10,BB,565.3233333333334
27,A11,BB,599.16
27,A12,FF,987.85
27,A13,AA,866.5
27,A14,GG,858.61
27,A14,AA,641.96
27,A15,GG,149.36
27,A16,AA,455.58
27,A17,EE,186.79
27,A17,GG,592.19
27,A17,FF,731.91
27,A19,AA,507.86
27,A22,BB,934.8
27,A22,GG,809.79
27,A24,CC,820.79
27,A25,EE,37.26
27,A25,GG,753.34
27,A25,CC,825.71
27,A25,BB,948.01
27,A29,EE,742.93
27,A29,DD,533.47
27,A3,FF,328.24
27,A30,FF,236.82
27,A32,EE,247.25
27,A33,DD,118.76
27,A35,GG,408.5
27,A36,EE,955.86
27,A38,GG,382.81
27,A39,CC,488.11
27,A39,BB,281.02
27,A39,GG,591.57
27,A4,EE,645.51
27,A40,FF,444.0
27,A40,GG,482.54
27,A42,CC,882.74
27,A42,BB,614.31
27,A42,DD,335.43
27,A43,GG,561.76
27,A44,BB,852.46
27,A44,GG,653.35
27,A45,DD,0.59
27,A45,BB,943.08
27,A46,CC,878.49
27,A46,GG,270.205
27,A47,GG,666.97
27,A47,EE,945.16
27,A47,AA,85.97
27,A48,AA,307.05
27,A49,GG,290.14
27,A5,FF,664.34
27,A6,BB,385.48
27,A6,EE,354.95
27,A6,FF,129.53
27,A7,DD,640.89
27,A7,GG,359.55
27,A8,FF,788.61
27,A8,CC,519.6
27,A9,BB,961.35
27,A9,AA,291.76
28,A1,CC,520.1
28,A10,AA,908.15
28,A11,DD,817.1
28,A12,FF,599.27
28,A12,EE,396.74
28,A14,BB,620.32
28,A14,FF,312.57
28,A14,AA,260.02
28,A15,BB,731.64
28,A15,DD,900.24
28,A17,CC,627.62
28,A2,BB,485.85
28,A2,EE,585.24
28,A20,FF,86.84
28,A22,GG,809.41
28,A22,AA,583.76
28,A23,GG,812.73
28,A24,BB,913.41
28,A26,AA,347.18
28,A26,DD,290.18
28,A26,EE,945.73
28,A29,EE,169.75
28,A3,DD,692.65
28,A31,CC,816.23
28,A31,EE,873.56
28,A32,AA,600.34
28,A33,DD,869.07
28,A35,CC,828.57
28,A36,EE,951.14
28,A37,GG,728.51
28,A38,EE,694.54
28,A39,FF,201.68
28,A40,FF,940.97
28,A42,DD,522.49
28,A42,CC,354.76
28,A42,FF,616.73
28,A43,BB,548.64
28,A43,FF,276.57
28,A43,DD,741.35
28,A44,AA,905.31
28,A44,DD,98.65
28,A45,DD,359.34
28,A47,BB,345.69
28,A47,GG,509.23
28,A48,FF,790.07
28,A7,FF,774.2
28,A7,EE,674.02
28,A8,BB,338.11
29,A19,DD,911.74
29,A20,AA,707.38
29,A22,GG,300.95
29,A22,AA,471.0
29,A22,CC,574.62
29,A25,FF,979.22
29,A27,FF,360.1
29,A30,EE,874.19
29,A32,BB,185.76
29,A33,GG,410.1
29,A42,DD,773.57
29,A6,GG,543.07
29,A7,FF,363.46
29,A7,AA,613.965
29,A8,GG,39.5
